userName,score,at,content
shilpa shahi,1,2026-08-28 06:08:23,"they are scammers fraudsters, I know ki 1 rating se tum logo ka kuch nahi hoga but agar 1 person bhi is baat ko samjh lega to mera issue describe karna worth it hoga, first of all they applied platform fee on each product when you are going to buy something then you have to pay that platform fee along with your product charge, after that agar aap us product ko return karte like size issue nd all then ye apko product charges hi return karenge platform fees nahi."
Suman Saurav,1,2026-08-28 06:08:23,very bad experience with myntra
Aman Khare Media,5,2026-08-28 06:07:45,badhiya app hai
Biswanath Gupta,5,2026-08-28 06:04:26,really amazing. quality products at budget friendly price ☺️☺️
Sumaya Sumaya,5,2026-08-28 05:59:27,fantastic
sachin rajput,4,2026-08-28 05:55:24,good
Bhanu JI,5,2026-08-28 05:54:17,good
Satya Prakash Dubey,4,2026-08-28 05:53:44,nice
umer 1023,5,2026-08-28 05:53:18,good
ABHISHEK PATEL,5,2026-08-28 05:51:41,good for everything
Sam Harrington,5,2026-08-28 05:47:53,Good shopping app
Babu Perumal,5,2026-08-28 05:43:44,Hi guys my honest feedback about Myntra is just a Manthra in my shopping lifestyle. this app is just an amazing experience I got it. I just loved it. ♥️
Mallikarjun Gopu,5,2026-08-28 05:41:20,Nice quality
SAYANTAN GHORAI,5,2026-08-28 05:40:52,good app for purchasing selfcare items !!
Murtaza Gul,5,2026-08-28 05:39:56,Good
Naval Bishnoi,5,2026-08-28 05:30:32,"myntra is a very good shopping app , authentic brands are delivered very nice myntra 👍😍😍"
Rishita Das,5,2026-08-28 05:27:29,best quality
HARSH KUMAR,1,2026-08-28 05:26:13,"I placed an order that was supposed to be delivered on the 27th, but it’s already the 28th and your tracking page still says, “We will deliver your order as soon as possible.” Pathetic service—there’s not even anyone available to register a complaint. You have completely ruined my Raksha Bandhan plans. Extremely disappointing and unacceptable. Thankyou for such great Service Myntra"
kushal tiwari,5,2026-08-28 05:25:09,good
Khushi Sharma,5,2026-08-28 05:24:40,it's cheap plus good 😊 shoes clothes and even accessories are so beautiful ❤️❤️
dhanvi,5,2026-08-28 05:22:57,nice
Shyam Ahir,5,2026-08-28 05:16:43,Best app for fashion
Aryan Chauhan,5,2026-08-28 05:13:01,awesome price and good quality
MOHD SAMEER,5,2026-08-28 05:10:34,very trusted app...
Ankona Middey,5,2026-08-28 05:04:47,good app
Moodframe,4,2026-08-28 05:01:26,best quality product 😉
Writer Ji,1,2026-08-28 05:00:45,"The watch looked great initially, but within 4 to 5 days, it started losing time due to a faulty battery. To make matters worse, the black color coating has already started peeling off. Unfortunately, by the time these issues appeared, the return window had closed. Very disappointing and poor quality product. Waste of money."
Sunish,5,2026-08-28 04:51:24,one of the best app
Madhu Sudan Soni,5,2026-08-28 04:51:11,Quality is very good service of Myntra is also good
Ayush Gupta,5,2026-08-28 04:48:30,nice
Muhammed hashim,5,2026-08-28 04:45:25,good material
sapan gupta,5,2026-08-28 04:45:11,great app
Bãçk Bêñchérß,5,2026-08-28 04:37:48,excellent product quality
Jasmeet Singh,5,2026-08-28 04:36:21,knd product
NEZHA YT,5,2026-08-28 04:34:22,best app for fashion
Srividhya,1,2026-08-28 04:28:38,delivery delayed
Rajesh kumar,5,2026-08-28 04:23:54,good
Ahmad Raza,5,2026-08-28 04:17:19,very goood
Mantasha Perween,5,2026-08-28 04:15:22,every product has perfect quality
Satyawan Jangra,5,2026-08-28 04:11:19,good quality
Hasina Barman,5,2026-08-28 04:10:55,It is a very good app for shopping
Kuhelika Bej,5,2026-08-28 04:10:25,very helpful app
Madhumita Das,5,2026-08-28 04:06:58,very gorgeous saree
Mausam,5,2026-08-28 04:06:17,love this shopping 🛍 app
Asmr Suraj,5,2026-08-28 03:57:33,good delivers geniune product.
Shraddha Korde,5,2026-08-28 03:48:26,product quality is so nice.
Hira Mishra,5,2026-08-28 03:46:47,cool
RITESH KUMAR,5,2026-08-28 03:39:12,👍
Sahil Sontakke,5,2026-08-28 03:36:45,better than flipkart and amazon
prerana g,5,2026-08-28 03:28:55,all products are beautiful and comfortable.
Bhautik Hirpara,5,2026-08-28 03:26:57,😄
PRATIMA SUBHASH,1,2026-08-28 03:16:28,totally fraud platform i ordered for a dress they s3nd a totally different product and then refused to return. saying we delivered the product you ordered. totally fraud
sourav mondal,5,2026-08-28 03:12:13,good app
Harsh Tiwari,5,2026-08-28 03:12:05,Quality clothes
Chinni krishna Sandhyapogu,5,2026-08-28 03:05:58,This is good app for online shopping this app shows original brand
Zinat Ibrahim,5,2026-08-28 03:03:43,Prompt delivery and excellent quality of products
mahesh kumar,1,2026-08-28 03:01:47,myntra Sent me used & different colour shirts and I raised return than decline return request myntra is now doing a fraud like a fraud apps in social media platforms
Gulshan Kumar,1,2026-08-28 02:55:47,Irresponsible platform with useless AI customer service. Delayed shipment and no responsibility of it taken by them.No human support which could understand your issue. There is always a risk of lossing your item and they no way take responsibility.
Ashish maraviya,3,2026-08-28 02:54:44,Easy to ship
Sanket Surve,5,2026-08-28 02:49:10,best shopping aapp
Hari Chandana,1,2026-08-28 02:46:46,I never have seen this type of delivery ever I dint receiving even my order at time later it going to be Canceled I'm not suppose to take this
Tarun,5,2026-08-28 02:37:42,ok
SANTHOSH NAYAK DABIRU,5,2026-08-28 02:37:41,nice app👍
ARS VOID,1,2026-08-28 02:35:48,very bad services
Anima Gogoi,5,2026-08-28 02:30:11,very good 😊❤️
Sameer Khan,1,2026-08-28 02:29:32,very bad
Avik Das,5,2026-08-28 02:26:25,Splendid! ❤
Saad Ali,5,2026-08-28 02:22:13,comfortable breathable 🤌
Akhilesh Mishra,5,2026-08-28 02:10:03,wonderful
Pooja Bhatia,5,2026-08-28 01:51:01,nice
Sandeep Rai,5,2026-08-28 01:41:56,fantastic
Bablu Boss,5,2026-08-28 01:33:10,excellent
Samar Parcha,5,2026-08-28 01:30:55,good ap products are good
Akash anil singh,1,2026-08-28 01:28:50,not for time delivery bat app use 10 ⭐️above Given 1⭐️
Er. Farez Ahmed Gazi,5,2026-08-28 01:24:36,good
Priya Yadav,5,2026-08-28 01:09:42,Exceptionally good
Rezuwan Murshid,5,2026-08-28 01:00:39,very good app to use
alok sahu,4,2026-08-28 00:52:30,good product
Shubham Patel,5,2026-08-28 00:49:15,good nice product
Brajesh Kumar Chaudhary,4,2026-08-28 00:34:29,ossome purchaing exprince
NOOR HASSAN,5,2026-08-27 23:42:03,good 😊
AVIJIT DEB,4,2026-08-27 23:15:15,Nice
Ganesh Raj,5,2026-08-27 22:51:34,good
Qammar Legend,5,2026-08-27 22:51:33,fantastic
Julet Smith,5,2026-08-27 22:44:07,"“I had a great experience using Myntra. The app is easy to use, the products have a good variety, and the overall shopping experience is smooth and convenient. Highly recommended!”"
ARSHAD ALI,1,2026-08-27 22:19:55,over price on this app
Chaithu Venati2002,5,2026-08-27 21:33:12,fashion guys worth this app
Atif Yusuf,5,2026-08-27 21:27:55,one of the finest e commerce for clothing and electronics gadgets
Sagar Sinha,5,2026-08-27 20:46:45,Nice dress
Malavika N,5,2026-08-27 20:27:49,very good
CRiZ,5,2026-08-27 20:21:43,Good experience
Dipti Jethwa,5,2026-08-27 20:20:56,very good experience. always get the best quality of clothes.
Vishwas Verma,5,2026-08-27 20:13:03,good
Sanobar Abbasi,5,2026-08-27 20:02:05,good 👍
bhoomi sahu,5,2026-08-27 19:54:17,good
Vijay Tekaria,5,2026-08-27 19:49:45,very good nice product quality very nice
Siddharth Makwana,5,2026-08-27 19:34:20,very good app
Mohd Mustafa,5,2026-08-27 19:31:55,very good
Fanmade Addie,5,2026-08-27 19:28:06,nice
Priya Dubey,5,2026-08-27 19:22:35,very good 👍👍👍👍👍👍
Kartana Unknown,1,2026-08-27 19:10:34,"Very disappointed with the return process. I requested a return over a week ago, and the expected pickup date has already passed with no update. No one has come to collect the item, and my refund is still stuck because of this delay. Such slow and unresponsive service makes it hard to trust shopping here again. Please fix this and process my return/refund immediately."
A R Khan,5,2026-08-27 19:08:31,I love myntra because I received good product like showing on the app
Vishal Sureliya,5,2026-08-27 19:07:36,"Great collection, excellent product quality, and fast delivery. The app is easy to use, and the products are exactly as shown. Definitely recommended for a smooth and reliable online shopping experience!"
Arth Sadh,5,2026-08-27 19:06:45,great experience
Neha Srivastava,5,2026-08-27 19:06:21,nice app specially their beauty finds are awesome..
